Date,Open,High,Low,Close,Volume
209,'2007-09-02 00:00',1.36276,1.36349,1.36223,1.36308,77003.0
210,'2007-09-03 00:00',1.36299,1.36541,1.36017,1.36109,858983.0
211,'2007-09-04 00:00',1.36094,1.36256,1.3548,1.36221,854567.0
212,'2007-09-05 00:00',1.36209,1.36712,1.3566,1.36506,857988.0
213,'2007-09-06 00:00',1.36498,1.37098,1.36308,1.36902,859015.0
214,'2007-09-07 00:00',1.36906,1.37978,1.36601,1.37657,783408.0
215,'2007-09-09 00:00',1.37681,1.37851,1.37659,1.37772,75150.0
216,'2007-09-10 00:00',1.37743,1.38143,1.37644,1.37907,859300.0
217,'2007-09-11 00:00',1.37906,1.38482,1.37756,1.38372,862697.0
218,'2007-09-12 00:00',1.38352,1.39141,1.38207,1.38928,858084.0
219,'2007-09-13 00:00',1.38923,1.39265,1.386,1.3871,858082.0
220,'2007-09-14 00:00',1.38696,1.38947,1.38414,1.38728,826877.0
221,'2007-09-16 00:00',1.3868,1.38727,1.38522,1.38585,33149.0
222,'2007-09-17 00:00',1.38589,1.38899,1.38474,1.38649,858085.0
223,'2007-09-18 00:00',1.3865,1.39889,1.38271,1.39748,863982.0
224,'2007-09-19 00:00',1.39726,1.39867,1.39323,1.39722,861908.0
225,'2007-09-20 00:00',1.39717,1.40993,1.39659,1.4067,859798.0
226,'2007-09-21 00:00',1.40669,1.41195,1.40394,1.40885,779970.0
227,'2007-09-23 00:00',1.40901,1.40938,1.40811,1.40901,78170.0
228,'2007-09-24 00:00',1.40897,1.41293,1.40653,1.40704,858149.0
229,'2007-09-25 00:00',1.4071,1.41628,1.40567,1.41454,867085.0
230,'2007-09-26 00:00',1.4145,1.41556,1.41084,1.41263,863606.0
231,'2007-09-27 00:00',1.41268,1.41892,1.41195,1.41544,861785.0
232,'2007-09-28 00:00',1.41537,1.42772,1.41462,1.42656,829015.0
233,'2007-09-30 00:00',1.42723,1.42808,1.42604,1.42672,32627.0
234,'2007-10-01 00:00',1.42678,1.42751,1.42075,1.42299,861489.0
235,'2007-10-02 00:00',1.42329,1.42389,1.41353,1.41517,864051.0
236,'2007-10-03 00:00',1.41512,1.42012,1.40791,1.40961,865666.0
237,'2007-10-04 00:00',1.40947,1.41488,1.40641,1.41342,864452.0
238,'2007-10-05 00:00',1.41336,1.41569,1.40313,1.41336,829264.0
239,'2007-10-07 00:00',1.4134,1.41526,1.41335,1.41481,32423.0
240,'2007-10-08 00:00',1.41468,1.41487,1.40321,1.4044,863957.0
241,'2007-10-09 00:00',1.40434,1.41147,1.40093,1.41049,863733.0
242,'2007-10-10 00:00',1.41067,1.41715,1.40914,1.41373,864978.0
243,'2007-10-11 00:00',1.4137,1.42402,1.41318,1.41973,868400.0
244,'2007-10-12 00:00',1.41982,1.42125,1.41522,1.41763,788200.0
245,'2007-10-14 00:00',1.41745,1.41866,1.41609,1.41649,76948.0
246,'2007-10-15 00:00',1.4164,1.42429,1.41559,1.4198,864667.0
247,'2007-10-16 00:00',1.42043,1.42265,1.41397,1.41742,864205.0
248,'2007-10-17 00:00',1.41751,1.42301,1.41562,1.42045,866229.0
249,'2007-10-18 00:00',1.4204,1.43097,1.41921,1.42893,864455.0
